team,TS%,eFG%,TotalS%,ORB%,DRB%,TRB%,AST%,TOV%,STL%,BLK%,PPS,FIC40,ORtg,DRtg,eDiff,Poss,Pace,W,L,PCT
Oklahoma City Thunder,0.593,0.56,167.5,24.2,74.7,50.0,60.2,10.3,10.3,11.9,1.3,83.9,120.4,107.5,12.9,8208.3,100.0,68,14,0.8292682926829268
Cleveland Cavaliers,0.607,0.578,165.0,25.9,74.8,51.0,63.1,11.6,8.1,8.0,1.3,83.7,121.8,112.2,9.5,8211.4,99.8,64,18,0.7804878048780488
Boston Celtics,0.591,0.561,163.0,25.7,76.1,50.9,62.8,10.8,7.4,10.5,1.3,80.6,120.6,111.1,9.4,7908.5,95.7,61,21,0.7439024390243902
Houston Rockets,0.553,0.523,154.6,31.7,76.3,53.5,54.9,11.8,8.5,9.3,1.2,74.0,115.4,110.8,4.6,8122.4,98.6,52,30,0.6341463414634146
New York Knicks,0.589,0.556,165.5,26.0,74.5,50.5,63.4,11.9,8.4,7.6,1.3,77.3,118.5,114.3,4.2,8009.6,96.7,51,31,0.6219512195121951
Los Angeles Clippers,0.589,0.554,165.2,24.4,77.5,51.4,60.5,13.4,9.6,9.3,1.3,75.0,115.1,110.3,4.7,8044.3,97.5,50,32,0.6097560975609756
Denver Nuggets,0.604,0.573,165.2,26.7,74.6,51.9,68.3,12.4,7.9,9.0,1.3,84.8,119.9,116.1,3.9,8255.4,99.8,50,32,0.6097560975609756
Indiana Pacers,0.594,0.562,164.5,21.3,74.5,48.2,67.1,11.8,8.4,10.2,1.3,79.8,116.5,114.3,2.2,8260.7,99.9,50,32,0.6097560975609756
Los Angeles Lakers,0.593,0.557,163.1,23.3,74.6,49.7,63.5,12.7,7.9,8.8,1.3,75.2,115.9,114.7,1.2,8020.6,97.6,50,32,0.6097560975609756
Minnesota Timberwolves,0.588,0.554,163.4,25.8,75.1,50.9,63.7,12.9,8.1,9.5,1.3,76.1,116.7,111.6,5.1,8033.9,97.2,49,33,0.5975609756097561
Memphis Grizzlies,0.588,0.554,163.2,28.7,75.0,52.1,63.5,13.1,8.6,10.8,1.3,82.0,117.7,113.0,4.7,8476.8,103.2,48,34,0.5853658536585366
Golden State Warriors,0.568,0.536,157.8,27.3,75.7,50.8,71.4,12.2,9.5,9.4,1.3,78.8,115.1,111.8,3.3,8103.8,98.6,48,34,0.5853658536585366
Milwaukee Bucks,0.598,0.568,162.3,19.3,76.2,49.0,60.7,12.2,7.4,9.1,1.3,76.3,115.9,113.5,2.5,8169.2,99.2,48,34,0.5853658536585366
Detroit Pistons,0.58,0.547,161.2,26.3,76.1,51.4,61.8,13.0,7.9,10.4,1.3,75.1,115.0,113.1,1.9,8236.4,99.8,44,38,0.5365853658536586
Orlando Magic,0.55,0.51,153.8,25.3,77.0,49.8,60.3,12.9,9.2,11.9,1.2,66.7,109.5,109.6,-0.1,7897.3,96.1,41,41,0.5
Atlanta Hawks,0.579,0.546,160.5,26.3,76.0,50.5,68.2,13.2,9.4,9.7,1.3,80.0,114.6,115.7,-1.1,8452.9,102.6,40,42,0.4878048780487805
Sacramento Kings,0.582,0.548,164.1,25.4,76.9,51.1,61.5,11.8,7.6,8.8,1.3,75.7,116.7,116.2,0.5,8130.2,98.2,40,42,0.4878048780487805
Dallas Mavericks,0.583,0.549,161.3,23.4,73.1,48.8,60.1,12.5,7.8,9.7,1.3,75.0,114.8,116.0,-1.2,8155.0,99.2,39,43,0.47560975609756095
